TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount,SourceFile,CalculatedDayOfWeek,Year,Month,MonthName,Quarter,DayOfMonth,WeekOfYear,IsWeekend,TotalJourneyCount
2019-01-01,Tuesday,1801000,2312000,Journeys_2019.csv,Tuesday,2019,1,January,1,1,1,0,4113000
2019-01-02,Wednesday,3410000,4536000,Journeys_2019.csv,Wednesday,2019,1,January,1,2,1,0,7946000
2019-01-03,Thursday,3604000,4742000,Journeys_2019.csv,Thursday,2019,1,January,1,3,1,0,8346000
2019-01-04,Friday,3693000,4984000,Journeys_2019.csv,Friday,2019,1,January,1,4,1,0,8677000
2019-01-05,Saturday,2583000,4046000,Journeys_2019.csv,Saturday,2019,1,January,1,5,1,1,6629000
2019-01-06,Sunday,1679000,2989000,Journeys_2019.csv,Sunday,2019,1,January,1,6,1,1,4668000
2019-01-07,Monday,3700000,5511000,Journeys_2019.csv,Monday,2019,1,January,1,7,2,0,9211000
2019-01-08,Tuesday,4026000,5909000,Journeys_2019.csv,Tuesday,2019,1,January,1,8,2,0,9935000
2019-01-09,Wednesday,4056000,5905000,Journeys_2019.csv,Wednesday,2019,1,January,1,9,2,0,9961000
2019-01-10,Thursday,4173000,5895000,Journeys_2019.csv,Thursday,2019,1,January,1,10,2,0,10068000
2019-01-11,Friday,4202000,6085000,Journeys_2019.csv,Friday,2019,1,January,1,11,2,0,10287000
2019-01-12,Saturday,2888000,4349000,Journeys_2019.csv,Saturday,2019,1,January,1,12,2,1,7237000
2019-01-13,Sunday,1986000,3130000,Journeys_2019.csv,Sunday,2019,1,January,1,13,2,1,5116000
2019-01-14,Monday,4029000,5974000,Journeys_2019.csv,Monday,2019,1,January,1,14,3,0,10003000
2019-01-15,Tuesday,4257000,6059000,Journeys_2019.csv,Tuesday,2019,1,January,1,15,3,0,10316000
2019-01-16,Wednesday,4330000,6031000,Journeys_2019.csv,Wednesday,2019,1,January,1,16,3,0,10361000
2019-01-17,Thursday,4454000,6146000,Journeys_2019.csv,Thursday,2019,1,January,1,17,3,0,10600000
2019-01-18,Friday,4797000,6210000,Journeys_2019.csv,Friday,2019,1,January,1,18,3,0,11007000
2019-01-19,Saturday,3424000,4434000,Journeys_2019.csv,Saturday,2019,1,January,1,19,3,1,7858000
2019-01-20,Sunday,2088000,3219000,Journeys_2019.csv,Sunday,2019,1,January,1,20,3,1,5307000
2019-01-21,Monday,4096000,5962000,Journeys_2019.csv,Monday,2019,1,January,1,21,4,0,10058000
2019-01-22,Tuesday,4350000,6075000,Journeys_2019.csv,Tuesday,2019,1,January,1,22,4,0,10425000
2019-01-23,Wednesday,4385000,6010000,Journeys_2019.csv,Wednesday,2019,1,January,1,23,4,0,10395000
2019-01-24,Thursday,4518000,6023000,Journeys_2019.csv,Thursday,2019,1,January,1,24,4,0,10541000
2019-01-25,Friday,1905000,1245000,Journeys_2019.csv,Friday,2019,1,January,1,25,4,0,3150000
2019-01-26,Saturday,2264000,4525000,Journeys_2019.csv,Saturday,2019,1,January,1,26,4,1,6789000
