Mode,MNLC,MASC,Station,Coverage,Source,Monday_Entry,Midweek_Entry,Friday_Entry,Saturday_Entry,Sunday_Entry,Monday_Exit,Midweek_Exit,Friday_Exit,Saturday_Exit,Sunday_Exit,Weekly_EntryExit,TwelveWeek_EntryExit,Annualised_EntryExit
DLR,504,STId,Stratford International DLR,Station entry/exit,apc,5868.40333333333,6389.53875,6495.048,5910.77199999999,4192.195,5330.87333333333,5643.575,5846.87599999999,5537.58799999999,3999.0125,79280.1094166666,925021.602603838,3739316.15014682
DLR,523,KGVd,King George V,Station entry/exit,apc,2436.60666666666,2555.76999999999,2595.6525,1928.73799999999,1412.425,2536.24,2589.37,2588.54749999999,1960.098,1486.16999999999,32379.8976666666,377801.002699822,1527226.37715752
DLR,533,LCAd,London City Airport,Station entry/exit,apc,5541.9,5621.13999999999,6000.93199999999,2046.632,3306.92833333333,6036.14666666666,5856.75999999999,6121.86399999999,2168.544,3646.41666666666,69303.0636666666,808611.787874488,3268740.00465167
DLR,538,PDKd,Pontoon Dock,Station entry/exit,apc,3632.62432094686,4096.38831781128,3835.0276316862,3768.25059340638,2523.14477855224,3789.78868856316,4182.59794971894,3855.9810475746,3663.97513433414,2638.39819567696,52544.1491933312,613072.729741372,2478291.05080729
DLR,559,WSId,West Silvertown,Station entry/exit,apc,3335.43,3622.92,3573.08,3498.76333333333,2375.52,3125.955,3379.18,3279.864,3480.14333333333,2087.72666666666,45762.7823333333,533949.341960563,2158441.91328415
DLR,573,WOAd,Woolwich Arsenal,Boarding/alighting,apc,9041.505,9395.91214285714,9608.2525,7658.26,5716.2225,9322.68333333333,9769.49285714285,9841.05833333333,7831.08333333333,6326.64999999999,122841.93,1433290.64240242,5793947.76500699
DLR,749,SHSd,Stratford High Street,Station entry/exit,apc,1837.49999999999,1865.79749999999,1698.34,1076.69333333333,892.044999999999,1828.02666666666,1899.3625,1798.3,1196.08999999999,933.45,22555.9249999999,263177.208573903,1063870.05838654
DLR,750,ABRd,Abbey Road,Station entry/exit,apc,2132.774,2205.0,2167.26999999999,1637.384,1265.01666666666,2123.562,2146.52666666666,2107.36749999999,1631.99399999999,1280.53333333333,27400.4815,319702.350258341,1292367.83032504
DLR,842,CAWd,Canary Wharf DLR,Station entry/exit,apc,15310.6379999999,17824.142,15268.694,13856.024,10115.1516666666,16022.2159999999,18502.0569999999,16323.762,14857.388,10500.6183333333,221233.088999999,2581295.46038134,10434653.3920229
DLR,850,ALSd,All Saints,Station entry/exit,apc,2667.64166666666,2780.17833333333,2666.58,2270.41499999999,1525.12499999999,2614.88499999999,2754.37166666666,2598.22499999999,2182.33749999999,1526.83999999999,34655.6991666666,404354.517398878,1634566.55827096
DLR,851,BOCd,Bow Church,Station entry/exit,apc,5100.01799999999,5480.895,5480.65,4050.34,3139.18499999999,3668.63,3863.60099999999,4016.52999999999,3154.9875,2597.245,59241.0735,691210.8617426,2794157.38096869
DLR,853,LAPd,Langdon Park,Station entry/exit,apc,5491.72399999999,5713.05,5596.045,4338.0925,3486.595,5380.396,5516.56,5500.495,4498.935,3376.83499999999,71357.9475,832587.687386492,3365660.4095451
DLR,854,CROd,Crossharbour,Station entry/exit,apc,4702.18,5022.66333333333,4965.49666666666,4013.394,2909.86499999999,4693.84999999999,4987.32888888889,4719.67999999999,3812.298,2920.88999999999,62767.6303333333,732357.894430193,2960490.53840656
DLR,855,HEQd,Heron Quays,Station entry/exit,apc,6909.49,7752.388,7170.53749999999,4927.43999999999,4580.52,7732.69,8782.564,8192.8,5588.94,4913.71999999999,99620.9935,1162354.23662248,4698711.85381979
DLR,856,ISGd,Island Gardens,Station entry/exit,apc,3715.67,4006.24,3996.76666666666,3783.53499999999,3014.11249999999,3556.61599999999,3644.34,3598.56,3189.655,2619.54,50426.1951666666,588360.942101297,2378395.88472531
DLR,857,MUDd,Mudchute,Station entry/exit,apc,2375.16999999999,2642.81499999999,2523.108,2265.172,1776.15199999999,2300.47999999999,2420.9675,2317.7,2221.46399999999,1874.544,32845.1375,383229.311255293,1549169.82344279
DLR,858,POPd,Poplar,Station entry/exit,apc,2383.5270758965,2545.05655823511,2238.51176844783,1625.16839378238,1130.69611476389,2495.11633602743,2588.49562480511,2316.10530149315,1859.5115321252,1242.64877453698,30691.941846194,358106.332628519,1447612.45499383
DLR,859,PMLd,Pudding Mill Lane,Station entry/exit,apc,2063.88,3990.55999999999,3989.43999999999,4658.92,4091.07125,2224.92666666666,4008.8125,3977.68,4293.18399999999,4012.73249999999,53309.9519166666,622007.935149516,2514410.8103821
DLR,860,SHAd,Shadwell DLR,Station entry/exit,apc,8479.94,9257.40666666666,8907.80799999999,6896.16199999999,4836.05499999999,8568.79333333333,9358.91833333333,8966.80399999999,6819.62399999999,4860.065,114184.226333333,1332274.5996707,5385599.55027627
DLR,861,SOQd,South Quay,Station entry/exit,apc,6214.36375,6852.82818181818,6075.51,4218.60599999999,3288.14499999999,6366.26374999999,7135.24636363636,6124.26499999999,4109.336,3318.1575,81678.8706363636,953009.782287677,3852455.83468001
DLR,862,LIMd,Limehouse DLR,Station entry/exit,apc,9219.83999999999,10196.8999999999,9774.81399999999,7198.1,4891.67,12815.46,15213.3566666666,14386.89,10148.0633333333,6732.23249999999,151397.839833333,1766474.25771524,7140812.38978603
DLR,864,TOGd,Tower Gateway,Station entry/exit,apc,3669.904,4248.545,3755.85,3362.38,2522.76499999999,4220.272,4945.01874999999,4297.6675,3893.04999999999,2948.81999999999,56251.39975,656328.054140089,2653146.7867692
DLR,865,WESd,Westferry,Station entry/exit,apc,6049.04999999999,6592.56888888888,6455.45599999999,5930.37199999999,4264.46999999999,6103.195,6519.06888888888,6337.46399999999,5769.456,4242.665,84487.0413333333,985774.855111226,3984905.67760796
DLR,866,WIQd,West India Quay,Station entry/exit,apc,3293.094,3744.09,4339.43999999999,4442.585,3154.13,3273.004,3582.06333333333,4032.20999999999,4026.08499999999,2681.89249999999,51220.9005,597633.376340437,2415878.86134335
DLR,867,DERd,Devons Road,Station entry/exit,apc,3551.79999999999,3845.46555555555,3879.49333333333,2904.23,2302.01999999999,3479.84,3710.49777777777,3621.91666666666,2765.72333333333,2225.41666666666,47398.3299999999,553032.526064203,2235583.9587392
DLR,882,BLAd,Blackwall,Station entry/exit,apc,1946.1575,2092.13666666666,2033.59799999999,1718.136,1114.26,2191.77,2345.30333333333,2252.72599999999,1826.22999999999,1153.06799999999,27548.2655,321426.659085928,1299338.19277785
DLR,883,EAId,East India,Station entry/exit,apc,6734.462,7347.22333333333,6726.23,3711.99499999999,2449.59166666666,7022.67999999999,7744.94,7020.81799999999,3771.03999999999,2424.76499999999,85138.0716666666,993370.923364849,4015612.0963753
DLR,886,ROVd,Royal Victoria,Station entry/exit,apc,3358.16599999999,3504.56166666666,3590.475,4102.86799999999,2729.00599999999,2802.8,2967.52166666666,3028.0775,3287.11599999999,2182.45999999999,44497.2185,519183.041889573,2098750.48102144
DLR,887,CUHd,Custom House DLR,Station entry/exit,apc,6545.665,8021.05499999999,7243.83333333333,6298.13333333333,4538.52,4257.12,5432.2625,4509.30666666666,3882.76,2979.9,80615.1908333333,940599.017427537,3802286.4404231
DLR,888,PRRd,Prince Regent,Station entry/exit,apc,1588.33499999999,1717.744,1840.44,1504.79,1207.68666666666,1790.70499999999,1831.424,1862.97999999999,1702.015,1141.53666666666,23285.9923333333,271695.461886843,1098304.32683438
DLR,889,STLd,Star Lane,Station entry/exit,apc,2046.24,2263.31,2015.37,1587.012,1038.60399999999,2162.86,2305.28666666666,2213.33,1733.424,1116.41599999999,27619.046,322252.509252191,1302676.61736774
DLR,890,ROAd,Royal Albert,Station entry/exit,apc,1807.77333333333,1919.085,1910.34666666666,1740.80666666666,1425.57333333333,2016.83999999999,2010.47,2120.72,1901.85333333333,1318.75333333333,26031.3316666666,303727.433190826,1227790.67318658
DLR,891,BEPd,Beckton Park,Station entry/exit,apc,670.646666666666,726.016666666666,735.98,551.74,382.48,664.93,729.61,741.859999999999,534.59,384.999999999999,9034.10666666666,105407.824085788,426101.593569623
DLR,893,CYPd,Cyprus,Station entry/exit,apc,3856.888,3481.205,2695.0,851.479999999999,584.733333333333,4951.156,4357.48833333333,3221.01499999999,963.339999999999,714.419999999999,41354.1123333333,482510.021067117,1950503.1118248
DLR,894,GARd,Gallions Reach,Station entry/exit,apc,2447.18249999999,2700.88,2668.344,2189.74,1544.725,2627.25749999999,2927.995,2733.808,2288.3,1655.95499999999,35041.937,408861.049266771,1652783.80568154
DLR,895,BECd,Beckton,Station entry/exit,apc,2554.37,2700.06333333333,2765.56,1780.856,1264.56749999999,2769.15333333333,2778.05499999999,2813.58,1841.22399999999,1280.73749999999,33504.4033333333,390921.469378926,1580264.67681726
DLR,897,DEBd,Deptford Bridge,Station entry/exit,taps,4367.26719542497,4341.60028706174,4494.18902139401,4156.95432100258,2882.75690128156,4453.01348388244,4452.50307847835,4373.21552611463,3988.95157893401,2883.51337688338,57982.1715015378,676522.290388361,2734780.16001203
DLR,898,ELRd,Elverson Road,Station entry/exit,apc,1969.52,2093.15749999999,2087.59599999999,1693.34199999999,1359.58666666666,1973.44,2025.415,2017.91799999999,1624.742,1465.59,26547.4521666666,309749.405354582,1252133.95090494
DLR,928,GREd,Greenwich,Boarding/alighting,apc,21112.64,23391.456,22730.6999999999,19659.888,16908.2,24816.96,25268.256,24430.68,21077.5679999999,18634.8,315350.572,3679436.03559348,14873787.3284234
DLR,940,LEWd,Lewisham DLR,Station entry/exit,apc,10262.8211416834,11139.6538357923,10141.2216548635,8204.91904071329,6173.82210885298,9954.81269970491,10514.0771210966,9757.71713158525,7857.56551090601,5891.44851837239,133205.520677348,1554210.57210014,6282755.64227229
EZL,3000,AMLr,Acton Main Line,Station entry/exit,taps,5151.6388411385,5955.94878783839,5821.55045943899,5245.234138307,3198.98729534849,5165.9762316675,5769.5035190752,5007.173533425,5068.286223406,3284.530517075,73119.7341605472,856154.888667076,3466685.54790999
EZL,3147,MAIr,Maidenhead,Station entry/exit,taps,8587.33862423331,8196.04775671476,6751.56305969407,7307.51526261252,4867.78586781086,8672.9047680868,8306.22217945802,7516.83185128968,6316.74794928103,5248.78834388108,104776.285535407,1226819.68291288,4967556.82989438
EZL,3149,RDGr,Reading,Boarding/alighting,lw,4940.83333333333,5436.39999999999,5437.59999999999,4243.83333333333,3763.0,6600.5,7127.5,7023.0,5766.16666666666,4311.2,79777.8333333333,934114.200492456,3782353.21880399
EZL,3151,TAPr,Taplow,Station entry/exit,taps,794.677947577536,974.72071962515,848.766638742724,758.02457739791,585.819267050641,677.625439791624,936.424323678054,826.053191995003,686.901051760816,566.596922761773,11477.9001669876,134394.092817987,544179.640230682
EZL,3155,TWYr,Twyford,Station entry/exit,taps,2461.2509309805,3435.81533800309,2660.9526752297,2259.01434209848,1944.68362138543,1770.42765817838,2340.47443497547,1509.32743173591,1253.84704252125,1028.79666388657,32217.1696849519,377229.042767377,1527450.80139595
EZL,3170,IVRr,Iver,Station entry/exit,taps,664.136003272349,763.493712685602,633.02673084328,538.599430457386,284.446862817032,668.913925866929,670.939069950269,559.242360350025,515.234864593942,275.53198046398,8442.43050657253,98851.9478826842,400264.746068524
EZL,3171,LNYr,Langley,Station entry/exit,taps,2364.29211727884,2485.07692263475,2005.16603498297,1556.27102914476,919.979478209356,2231.03900384881,2587.06889386391,2008.57725227852,1411.78530720894,972.423426679055,28685.9710991272,335882.435496213,1360032.86361461
EZL,3172,SLOr,Slough,Station entry/exit,taps,9584.89042597638,10207.6370280663,9119.40977942386,7801.80306366222,5801.71459960769,9193.1799655322,10109.0608198117,9007.70708710124,7900.85716744804,5465.46943311136,124825.125065497,1461570.42664642,5918093.95983965
EZL,3174,WDTr,West Drayton,Station entry/exit,taps,6968.20974126579,7232.41599467536,7166.1650398946,5863.6364317555,3525.13812787509,6721.45648134541,6870.26907986736,6353.54024117276,5399.18142656415,3392.71596891496,87698.0986824165,1026852.14567247,4157861.55094579
EZL,3176,BNMr,Burnham,Station entry/exit,taps,3037.49200856372,3445.57750568932,3089.86965249402,2306.75059104879,1244.1295568506,2984.15842605712,3257.70836057776,3089.09612321582,2182.81510810405,1215.51082249734,39259.6798876327,459689.401899347,1861343.81428678
EZL,3186,HAYr,Hayes & Harlington,Station entry/exit,taps,14587.3907497523,15000.5556786178,14976.4670671541,12641.5673413925,8496.83832652922,13194.6786229646,14753.7211293793,14702.4216901951,12343.1320582905,7843.211022345,188048.537302615,2201849.83392891,8915584.19976222
EZL,3187,STLr,Southall,Station entry/exit,taps,12761.3026862092,13937.06900736,12942.8217224086,11753.4411928999,8475.299988276,13473.3439044629,14270.8193759603,13066.7957753816,11026.4930440504,7643.26000220014,175766.42346585,2058039.24811053,8333275.9210941
EZL,3188,WEAr,West Ealing,Station entry/exit,taps,4427.40005615117,5348.07170163906,4872.86804777831,4309.63453964765,2309.42404589477,4087.46545106577,4740.08454628496,4191.55238559418,3975.8707934009,2602.34459526597,61041.0286585708,714725.999694627,2894021.07802525
EZL,3191,HANr,Hanwell,Station entry/exit,taps,3577.8912506169,4380.72501274101,3776.07947597854,3332.8523598016,1673.25381267781,3333.37814766233,3703.19922519537,3050.27912649238,2607.09319009207,1587.28012362165,47189.8802007524,552543.675019093,2237323.17380088
EZL,5131,ABWr,Abbey Wood,Boarding/alighting,lw,26215.6666666666,29339.1999999999,26230.75,20523.3333333333,13852.3333333333,30073.8333333333,33057.3999999999,29550.5,22709.6666666666,16273.3333333333,372619.216666666,4362977.62325009,17666279.3994245
EZL,6560,CWXr,Canary Wharf EL,Station entry/exit,taps,28244.0914285714,35003.68,27500.39,22652.976,14697.792,29514.8657142857,35365.44,27762.02,24100.968,15990.948,401571.411142857,4701977.2534184,19038934.2008015
EZL,6561,CUSr,Custom House EL,Station entry/exit,taps,12826.0919999999,17145.8939999999,14772.1499999999,14728.46,8858.088,13366.896,17127.738,14793.0599999999,14978.6999999999,8354.208,205498.55,2406171.05924088,9742908.14347411
