NLC,ASC,Station,Fare Zone,DayType,TimeInterval,Hour,Minute,TimeSlot,ExpectedEntryCount,ExpectedExitCount,ExpectedPassengerActivity,DayOrder
750,ABRd,Abbey Road,2/3,Monday,0000-0015,0,0,0,2.7158181728298603,7.410009520000001,10.125827692829862,0
750,ABRd,Abbey Road,2/3,Monday,0015-0030,0,15,1,3.40538587282986,5.63655816,9.04194403282986,0
750,ABRd,Abbey Road,2/3,Monday,0030-0045,0,30,2,3.068888044829861,3.0859488,6.154836844829861,0
750,ABRd,Abbey Road,2/3,Monday,0045-0100,0,45,3,2.40218521882986,2.16924184,4.57142705882986,0
750,ABRd,Abbey Road,2/3,Monday,0100-0115,1,0,4,1.7770119188298603,1.1821974400000002,2.9592093588298605,0
750,ABRd,Abbey Road,2/3,Monday,0115-0130,1,15,5,1.4772844000000005,0.5034076,1.9806920000000003,0
750,ABRd,Abbey Road,2/3,Monday,0130-0145,1,30,6,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0145-0200,1,45,7,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0200-0215,2,0,8,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0215-0230,2,15,9,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0230-0245,2,30,10,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0245-0300,2,45,11,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0300-0315,3,0,12,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0315-0330,3,15,13,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0330-0345,3,30,14,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0345-0400,3,45,15,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0400-0415,4,0,16,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0415-0430,4,15,17,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0430-0445,4,30,18,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0445-0500,4,45,19,0.0,0.0,0.0,0
750,ABRd,Abbey Road,2/3,Monday,0500-0515,5,0,20,3.81553618,0.3130430222272,4.1285792022272,0
750,ABRd,Abbey Road,2/3,Monday,0515-0530,5,15,21,7.73860698,1.7156357422272002,9.4542427222272,0
750,ABRd,Abbey Road,2/3,Monday,0530-0545,5,30,22,13.87214478,5.2661120422272,19.1382568222272,0
